ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Damage Cost,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
1498551,G234518,4/24/2001 20:15,005XX N COLUMBUS DR,810,THEFT,OVER $500,STREET,1805,FALSE,FALSE,1834,NA,NA,NA,6,1178452,1903693,2001,4/12/2014 12:43,41.8910426,-87.62008101,"(41.891042598, -87.620081013)"
1470135,G198684,3/30/2001 19:30,049XX W WEST END AV,460,BATTERY,SIMPLE,APARTMENT,883,FALSE,TRUE,1532,NA,NA,NA,08B,1143503,1900491,2001,ERROR,41.8829814,-87.74851238,"(41.882981399, -87.748512379)"
4380629,HL672144,10/14/2005 8:30,002XX W 87TH ST,1320,CRIMINAL DAMAGE,TO VEHICLE,PARKING LOT/GARAGE(NON.RESID.),2556,FALSE,FALSE,622,6,21,44,14,1176403,1847255,2005,ERROR,41.73621816,-87.62930397,"(41.736218161, -87.629303966)"
3828054,HL198936,2/23/2005 21:00,049XX N MILWAUKEE AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,PARKING LOT/GARAGE(NON.RESID.),1349,FALSE,FALSE,1623,16,45,11,14,1139081,1932636,2005,ERROR,41.97127228,-87.76396659,"(41.971272283, -87.763966593)"
5649370,HN457869,7/10/2007 15:30,121XX S PRINCETON AVE,530,ASSAULT,AGGRAVATED: OTHER DANG WEAPON,STREET,2266,FALSE,FALSE,523,5,34,53,04A,1176434,1824279,2007,ERROR,41.67316805,-87.62987799,"(41.673168048, -87.629877991)"
1926664,G777431,12/30/2001 12:22,075XX S COTTAGE GROVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,2792,TRUE,FALSE,624,NA,NA,NA,18,1182916,1854849,2001,ERROR,41.75690824,-87.60520739,"(41.756908237, -87.605207385)"
3349468,HK391905,5/25/2004 15:00,015XX E 93RD ST,820,THEFT,$500 AND UNDER,SIDEWALK,483,FALSE,FALSE,413,4,8,48,6,1187948,1843656,2004,4/12/2014 12:43,41.72607519,-87.58712191,"(41.726075187, -87.587121912)"
9289687,HW434804,9/2/2013 18:45,057XX S PRAIRIE AVE,2023,NARCOTICS,POSS: HEROIN(BRN/TAN),VACANT LOT/LAND,3421,TRUE,FALSE,232,2,20,40,18,1178985,1866850,2013,3/9/2013 11:05,41.78993062,-87.61924852,"(41.789930619, -87.619248524)"
4657553,HM172738,2/9/2006 20:15,001XX E WACKER DR,1505,PROSTITUTION,CALL OPERATION,HOTEL/MOTEL,2254,TRUE,FALSE,124,1,42,32,16,1177757,1902582,2006,1/4/2006 3:33,41.88800978,-87.62266717,"(41.888009783, -87.622667166)"
1848637,G686275,10/17/2001 17:00,031XX W 103 ST,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,BANK,2485,FALSE,FALSE,2211,NA,NA,NA,11,1157251,1836208,2001,ERROR,41.70631177,-87.69976847,"(41.706311774, -87.699768468)"
1714907,G518024,8/30/2001 0:38,122XX S PEORIA ST,326,ROBBERY,AGGRAVATED VEHICULAR HIJACKING,STREET,2852,FALSE,FALSE,524,NA,NA,NA,3,1172502,1823677,2001,ERROR,41.67160324,-87.64428698,"(41.671603244, -87.644286984)"
8501862,HV177514,2/19/2012 16:00,027XX N MOBILE AVE,5002,OTHER OFFENSE,OTHER VEHICLE OFFENSE,STREET,3247,FALSE,FALSE,2512,25,29,19,26,1133987,1917369,2012,ERROR,41.9294694,-87.78305857,"(41.9294694, -87.783058569)"
